slug,label,caption,vocab1,fact1,vocab2,fact2,vocab3,fact3
garage-metal,车库,大家好，我是来自 Bronx 的环卫工人 Julian。我们在我们当地的车库打卡上班，然后出发去收集你们的生活垃圾或可回收物,,很多车库都是之前的焚化炉！我们位于 Zerega Avenue 的 Bronx 9/10/11 号车库都是曾经运转的焚化炉。,,我们的标志并非始终是现在这样。直到 1929 年我们才成为今天大家所熟知的卫生局，我们的标志也变成了最流行的双蛇杖：一根顶端带有翅膀、上面缠绕着两条蛇的权杖，寓意是健康。,,
curbside-metal,路边拾集,MGP（您的金属、玻璃、塑料和纸板回收物），由我的环卫工同事们收集，然后扔进 DSNY 垃圾收集车中。,DSNY,纽约市环卫局（NYC Department of Sanitation，DSNY）是世界上最大的环卫部门。自1881年以来，我们一直保持纽约的健康、安全和清洁！,,,,
tipping-barge-metal,海上中转站,在结束我们的收集路线后，我们的环卫工人前往 Sims Hunts Point，在那里，我们将你们的可回收物放在驳船上。,Sims,Sims是一家在纽约市运营众多回收设施的公司。他们处理DSNY在其设施内收集的所有金属、玻璃和塑料，最新的设施已经在Brooklyn的日落公园开放。,,,,
barge-metal,驳船,该驳船由拖船引导至 Sims 落日公园材料回收设施 (Material Recovery Facility，MRF)。,材料回收设施,材料回收设施（Materials Recovery Facility，MRF）是负责将可回收材料处理为再次出售的新产品原的材料的地方。,,,,
sims,材料回收设施,当驳船到达 Brooklyn Sims 落日公园的材料回收设施时，操作员操纵一个巨大的起重机抓斗，把你们的 MGP 可回收物从驳船上铲到倾卸场中。,,,,,,
tipping-floor-metal,卸料间,除了运送可回收物的驳船，DSNY 的垃圾收集车也会来这，也在倾卸场将本市的可回收物卸载成几个大堆。,卸料间,倾倒区是一个巨大的房间，可回收物被堆卸成几大堆。,,,,
sorting,分类,可回收物由前端装载机从倾卸场推入分拣系统。或者，视可用的设备而定，你们的可回收物由巨大的起重机（称为“挖掘机”）抬起来，放入分拣系统中。,前端装载机,前端装载机是一种大型车辆，前面有一个铲斗，用于抬起和装载松散材料。,,,,
liberator,回收处理机,此时，可回收物进入分拣系统，首先通过称为“解放者”的低速粉碎机，它可以撕开你们的透明可回收袋子。,,,,,,
magnets,磁石,之后，可回收物通过一个大型的旋转磁铁，该磁铁会收集黑色金属或磁性材料。然后，是一个涡流（反向磁铁），排斥任何有色金属（如铝）。,黑色金属,黑色金属含有铁且具有磁性，如不锈钢或铸铁。有色金属不含铁，也不具有磁性。常见的有色金属包括铝、铜和锡。,,,,
trommel,滚筒筛,黑色金属或磁性材料通过滚筒筛。随着滚筒旋转，较小的物品（如罐子）会从这些孔中掉下来，然后被运送到自己的打包机上。这台机器会将材料压缩成方形的堆垛。与较小的金属物品不同，大件的金属不会被打包，而是装载到驳船上，运送到废金属设施。,,滚筒就像一个巨大的圆柱形洗衣机，上面有八英寸的孔。,,,,
quality-metal,品质控制,质量控制步骤会对已经分类的物品进行最终检查。质量控制小组并不是对剩余物进行分类，而是清理已经分类的物品，或者从可回收物中清除任何剩余的残渣或垃圾。,,,,,,
bales-metal,捆,到现在为止，所有的材料都已经被分开。成堆的被压碎的有色金属构成的矩形堆垛由卡车运离设施；磁性金属堆垛由一个巨大的起重机抓斗放进轨道车辆里。,,,,,,
barge-rail-metal,驳船转铁路,最终，载有磁性金属、黑色金属的轨道车辆横跨 Upper Bay，从 Owl’s Head 废水处理厂附近的区域出发，与新泽西州的一条铁路线汇合，在那里被带到一座工厂进行进一步加工。,,,,,,
end-metal,可循环使用！,您扔进可回收物垃圾箱的铝罐可以制成其他铝罐、铝箔，或者甚至是汽车零件，这很酷，不是吗？,,,,,,
